 nb            ed            pr           
 2.000000e-10  9.430934e-10  1.157554e-14 
 2.100000e-10  9.902487e-10  1.253863e-14 
 2.205000e-10  1.039762e-09  1.358049e-14 
 2.315250e-10  1.091751e-09  1.470736e-14 
 2.431013e-10  1.146339e-09  1.592609e-14 
 2.552563e-10  1.203657e-09  1.724400e-14 
 2.680191e-10  1.263840e-09  1.866900e-14 
 2.814201e-10  1.327033e-09  2.020957e-14 
 2.954911e-10  1.393386e-09  2.187486e-14 
 3.102656e-10  1.463057e-09  2.367482e-14 
 3.257789e-10  1.536202e-09  2.564465e-14 
 3.420679e-10  1.613013e-09  2.774865e-14 
 3.591713e-10  1.693665e-09  3.002179e-14 
 3.771298e-10  1.778350e-09  3.247751e-14 
 3.959863e-10  1.867269e-09  3.513000e-14 
 4.157856e-10  1.960634e-09  3.799470e-14 
 4.365749e-10  2.058668e-09  4.109144e-14 
 4.584037e-10  2.161604e-09  4.442845e-14 
 4.813238e-10  2.269686e-09  4.803814e-14 
 5.053900e-10  2.383173e-09  5.192694e-14 
 5.306595e-10  2.502325e-09  5.616076e-14 
 5.571925e-10  2.627445e-09  6.069681e-14 
 5.850521e-10  2.758820e-09  6.559129e-14 
 6.143048e-10  2.896764e-09  7.087154e-14 
 6.450200e-10  3.041606e-09  7.656730e-14 
 6.772710e-10  3.193691e-09  8.271056e-14 
 7.111345e-10  3.353379e-09  8.933523e-14 
 7.466913e-10  3.521053e-09  9.647816e-14 
 7.840258e-10  3.697111e-09  1.041788e-13 
 8.232271e-10  3.881972e-09  1.124794e-13 
 8.643885e-10  4.076067e-09  1.214689e-13 
 9.076079e-10  4.279877e-09  1.311129e-13 
 9.529883e-10  4.493877e-09  1.415040e-13 
 1.000638e-09  4.718578e-09  1.526986e-13 
 1.050670e-09  4.954515e-09  1.647568e-13 
 1.103203e-09  5.202250e-09  1.777432e-13 
 1.158363e-09  5.462371e-09  1.917276e-13 
 1.216281e-09  5.735500e-09  2.067850e-13 
 1.277095e-09  6.022286e-09  2.229943e-13 
 1.340950e-09  6.323411e-09  2.404417e-13 
 1.407998e-09  6.639595e-09  2.592384e-13 
 1.478398e-09  6.971578e-09  2.794862e-13 
 1.552318e-09  7.320172e-09  3.012522e-13 
 1.629933e-09  7.686196e-09  3.246223e-13 
 1.711430e-09  8.070522e-09  3.497828e-13 
 1.797002e-09  8.474067e-09  3.768428e-13 
 1.886852e-09  8.897790e-09  4.059398e-13 
 1.981194e-09  9.342700e-09  4.372245e-13 
 2.080254e-09  9.809858e-09  4.708559e-13 
 2.184267e-09  1.030038e-08  5.070053e-13 
 2.293480e-09  1.081542e-08  5.458542e-13 
 2.408154e-09  1.135621e-08  5.876781e-13 
 2.528562e-09  1.192405e-08  6.325821e-13 
 2.654990e-09  1.252029e-08  6.807769e-13 
 2.787739e-09  1.314634e-08  7.324942e-13 
 2.927126e-09  1.380369e-08  7.880867e-13 
 3.073482e-09  1.449392e-08  8.477872e-13 
 3.227157e-09  1.521866e-08  9.118893e-13 
 3.388514e-09  1.597964e-08  9.807069e-13 
 3.557940e-09  1.677867e-08  1.054576e-12 
 3.735837e-09  1.761766e-08  1.133865e-12 
 3.922629e-09  1.849859e-08  1.219050e-12 
 4.118760e-09  1.942358e-08  1.310450e-12 
 4.324699e-09  2.039483e-08  1.408425e-12 
 4.540933e-09  2.141464e-08  1.513426e-12 
 4.767980e-09  2.248545e-08  1.556278e-12 
 5.006379e-09  2.360981e-08  1.672265e-12 
 5.256698e-09  2.479038e-08  1.796421e-12 
 5.519533e-09  2.603000e-08  1.929688e-12 
 5.795510e-09  2.733160e-08  2.072579e-12 
 6.085285e-09  2.869828e-08  2.225929e-12 
 6.389549e-09  3.013330e-08  2.390127e-12 
 6.709027e-09  3.164009e-08  2.566348e-12 
 7.044478e-09  3.322223e-08  2.754859e-12 
 7.396702e-09  3.488348e-08  2.957070e-12 
 7.766537e-09  3.662781e-08  3.173966e-12 
 8.154864e-09  3.845937e-08  3.405911e-12 
 8.562607e-09  4.038251e-08  3.654892e-12 
 8.990738e-09  4.240182e-08  3.921098e-12 
 9.440274e-09  4.452212e-08  4.206505e-12 
 9.912288e-09  4.674844e-08  4.512190e-12 
 1.040790e-08  4.908609e-08  4.839698e-12 
 1.092830e-08  5.154064e-08  5.190288e-12 
 1.147471e-08  5.411794e-08  5.565670e-12 
 1.204845e-08  5.682413e-08  5.967569e-12 
 1.265087e-08  5.966565e-08  6.397833e-12 
 1.328341e-08  6.264926e-08  6.858422e-12 
 1.394758e-08  6.578208e-08  7.351447e-12 
 1.464496e-08  6.907156e-08  7.879143e-12 
 1.537721e-08  7.252555e-08  8.443885e-12 
 1.614607e-08  7.615226e-08  9.048267e-12 
 1.695338e-08  7.996034e-08  9.695599e-12 
 1.780105e-08  8.395885e-08  1.038780e-11 
 1.869110e-08  8.815733e-08  1.112748e-11 
 1.962565e-08  9.256578e-08  1.191957e-11 
 2.060694e-08  9.719468e-08  1.276688e-11 
 2.163728e-08  1.020551e-07  1.367326e-11 
 2.271915e-08  1.071585e-07  1.464280e-11 
 2.385510e-08  1.125172e-07  1.567974e-11 
 2.504786e-08  1.181439e-07  1.678878e-11 
 2.630025e-08  1.240520e-07  1.797472e-11 
 2.761526e-08  1.302555e-07  1.924303e-11 
 2.899603e-08  1.367692e-07  2.059943e-11 
 3.044583e-08  1.436088e-07  2.204953e-11 
 3.196812e-08  1.507904e-07  2.359991e-11 
 3.356653e-08  1.583311e-07  2.525757e-11 
 3.524485e-08  1.662489e-07  2.702961e-11 
 3.700710e-08  1.745628e-07  2.892413e-11 
 3.885745e-08  1.832924e-07  3.094918e-11 
 4.080032e-08  1.924587e-07  3.311380e-11 
 4.284034e-08  2.020833e-07  3.542754e-11 
 4.498236e-08  2.121893e-07  3.790049e-11 
 4.723147e-08  2.228007e-07  4.054642e-11 
 4.959305e-08  2.339428e-07  4.336856e-11 
 5.207270e-08  2.456422e-07  4.639024e-11 
 5.467633e-08  2.579267e-07  4.961319e-11 
 5.741015e-08  2.708256e-07  5.306043e-11 
 6.028066e-08  2.843697e-07  5.674403e-11 
 6.329469e-08  2.985911e-07  6.068014e-11 
 6.645943e-08  3.135238e-07  6.488554e-11 
 6.978240e-08  3.292033e-07  6.937887e-11 
 7.327152e-08  3.456671e-07  7.417969e-11 
 7.693509e-08  3.629542e-07  7.930864e-11 
 8.078185e-08  3.811061e-07  8.479344e-11 
 8.482094e-08  4.001657e-07  9.064204e-11 
 8.906199e-08  4.201787e-07  9.690109e-11 
 9.351509e-08  4.411927e-07  1.035748e-10 
 9.819084e-08  4.632577e-07  1.107107e-10 
 1.031004e-07  4.864263e-07  1.183399e-10 
 1.082554e-07  5.107537e-07  1.264739e-10 
 1.136682e-07  5.362979e-07  1.351700e-10 
 1.193516e-07  5.631198e-07  1.444582e-10 
 1.253192e-07  5.912832e-07  1.543784e-10 
 1.315851e-07  6.208554e-07  1.649739e-10 
 1.381644e-07  6.519067e-07  1.763009e-10 
 1.450726e-07  6.845111e-07  1.883752e-10 
 1.523262e-07  7.187464e-07  1.996423e-10 
 1.599425e-07  7.546940e-07  2.133273e-10 
 1.679397e-07  7.924394e-07  2.199702e-10 
 1.763366e-07  8.320727e-07  2.350240e-10 
 1.851535e-07  8.736885e-07  2.510988e-10 
 1.944111e-07  9.173859e-07  2.682646e-10 
 2.041317e-07  9.632691e-07  2.865945e-10 
 2.143383e-07  1.011447e-06  3.061683e-10 
 2.250552e-07  1.062036e-06  3.270691e-10 
 2.363080e-07  1.115154e-06  3.493870e-10 
 2.481234e-07  1.170930e-06  3.732188e-10 
 2.605295e-07  1.229496e-06  3.986876e-10 
 2.735560e-07  1.290991e-06  4.258333e-10 
 2.872338e-07  1.355563e-06  4.548411e-10 
 3.015955e-07  1.423364e-06  4.858146e-10 
 3.166753e-07  1.494558e-06  5.188836e-10 
 3.325090e-07  1.569312e-06  5.541924e-10 
 3.491345e-07  1.647807e-06  5.918900e-10 
 3.665912e-07  1.730227e-06  6.321356e-10 
 3.849208e-07  1.816772e-06  6.751081e-10 
 4.041668e-07  1.907645e-06  7.210241e-10 
 4.243752e-07  2.003064e-06  7.699585e-10 
 4.455939e-07  2.103257e-06  8.222939e-10 
 4.678736e-07  2.208463e-06  8.780640e-10 
 4.912673e-07  2.318931e-06  9.376591e-10 
 5.158307e-07  2.434926e-06  1.001278e-09 
 5.416222e-07  2.556724e-06  1.069195e-09 
 5.687033e-07  2.684616e-06  1.141769e-09 
 5.971385e-07  2.818906e-06  1.219174e-09 
 6.269954e-07  2.959914e-06  1.301727e-09 
 6.583452e-07  3.107977e-06  1.390017e-09 
 6.912624e-07  3.263448e-06  1.484092e-09 
 7.258255e-07  3.426697e-06  1.584614e-09 
 7.621168e-07  3.598113e-06  1.691908e-09 
 8.002226e-07  3.778104e-06  1.732379e-09 
 8.402338e-07  3.967099e-06  1.849755e-09 
 8.822455e-07  4.165550e-06  1.974823e-09 
 9.263577e-07  4.373929e-06  2.108446e-09 
 9.726756e-07  4.592732e-06  2.193700e-09 
 1.021309e-06  4.822482e-06  2.342083e-09 
 1.072375e-06  5.063727e-06  2.500633e-09 
 1.125994e-06  5.317043e-06  2.669563e-09 
 1.182293e-06  5.583033e-06  2.850213e-09 
 1.241408e-06  5.862332e-06  3.042702e-09 
 1.303478e-06  6.155605e-06  3.248331e-09 
 1.368652e-06  6.463553e-06  3.467827e-09 
 1.437085e-06  6.786910e-06  3.702118e-09 
 1.508939e-06  7.126447e-06  3.952199e-09 
 1.584386e-06  7.482974e-06  4.219129e-09 
 1.663605e-06  7.857340e-06  4.504046e-09 
 1.746786e-06  8.250440e-06  4.808159e-09 
 1.834125e-06  8.663204e-06  4.912516e-09 
 1.925831e-06  9.096618e-06  5.244149e-09 
 2.022123e-06  9.551720e-06  5.598148e-09 
 2.123229e-06  1.002960e-05  5.975973e-09 
 2.229390e-06  1.053138e-05  6.379225e-09 
 2.340860e-06  1.105828e-05  6.810061e-09 
 2.457903e-06  1.161155e-05  7.269510e-09 
 2.580798e-06  1.219250e-05  7.759455e-09 
 2.709838e-06  1.280253e-05  8.282862e-09 
 2.845330e-06  1.344308e-05  8.841470e-09 
 2.987596e-06  1.411569e-05  9.438249e-09 
 3.136976e-06  1.482196e-05  1.007410e-08 
 3.293825e-06  1.556358e-05  1.075334e-08 
 3.458516e-06  1.634232e-05  1.147894e-08 
 3.631442e-06  1.716003e-05  1.225206e-08 
 3.813014e-06  1.801866e-05  1.307786e-08 
 4.003665e-06  1.892027e-05  1.395931e-08 
 4.203848e-06  1.986700e-05  1.490010e-08 
 4.414040e-06  2.086112e-05  1.590420e-08 
 4.634742e-06  2.190500e-05  1.697591e-08 
 4.866480e-06  2.300113e-05  1.812070e-08 
 5.109804e-06  2.415212e-05  1.934045e-08 
 5.365294e-06  2.536073e-05  2.064338e-08 
 5.633558e-06  2.662983e-05  2.203399e-08 
 5.915236e-06  2.796246e-05  2.351818e-08 
 6.210998e-06  2.936178e-05  2.393447e-08 
 6.521548e-06  3.083111e-05  2.554799e-08 
 6.847625e-06  3.237398e-05  2.726700e-08 
 7.190007e-06  3.399409e-05  2.910343e-08 
 7.549507e-06  3.569530e-05  3.106500e-08 
 7.926982e-06  3.748167e-05  3.315502e-08 
 8.323332e-06  3.935746e-05  3.538730e-08 
 8.739498e-06  4.132716e-05  3.777218e-08 
 9.176473e-06  4.339547e-05  4.031292e-08 
 9.635297e-06  4.556733e-05  4.302693e-08 
 1.011706e-05  4.784792e-05  4.592352e-08 
 1.062291e-05  5.024269e-05  4.901776e-08 
 1.115406e-05  5.275735e-05  5.231431e-08 
 1.171176e-05  5.539792e-05  5.583579e-08 
 1.229735e-05  5.817070e-05  5.959401e-08 
 1.291222e-05  6.108232e-05  6.360503e-08 
 1.355783e-05  6.413972e-05  6.788568e-08 
 1.423572e-05  6.735021e-05  7.245461e-08 
 1.494751e-05  7.072146e-05  7.733067e-08 
 1.569488e-05  7.426153e-05  8.253470e-08 
 1.647963e-05  7.797881e-05  8.362268e-08 
