table t 
1015 n_cols 5 n_lines 201 0 
x lb clb co cco 
3 30 30 20 4 
3.02 29.8 29.8 19.8 3.9204 
3.04 29.6 29.6 19.6 3.8416 
3.06 29.4 29.4 19.4 3.7636 
3.08 29.2 29.2 19.2 3.6864 
3.1 29 29 19 3.61 
3.12 28.8 28.8 18.8 3.5344 
3.14 28.6 28.6 18.6 3.4596 
3.16 28.4 28.4 18.4 3.3856 
3.18 28.2 28.2 18.2 3.3124 
3.2 28 28 18 3.24 
3.22 27.8 27.8 17.8 3.1684 
3.24 27.6 27.6 17.6 3.0976 
3.26 27.4 27.4 17.4 3.0276 
3.28 27.2 27.2 17.2 2.9584 
3.3 27 27 17 2.89 
3.32 26.8 26.8 16.8 2.8224 
3.34 26.6 26.6 16.6 2.7556 
3.36 26.4 26.4 16.4 2.6896 
3.38 26.2 26.2 16.2 2.6244 
3.4 26 26 16 2.56 
3.42 25.8 25.8 15.8 2.4964 
3.44 25.6 25.6 15.6 2.4336 
3.46 25.4 25.4 15.4 2.3716 
3.48 25.2 25.2 15.2 2.3104 
3.5 25 25 15 2.25 
3.52 24.8 24.8 14.8 2.1904 
3.54 24.6 24.6 14.6 2.1316 
3.56 24.4 24.4 14.4 2.0736 
3.58 24.2 24.2 14.2 2.0164 
3.6 24 24 14 1.96 
3.62 23.8 23.8 13.8 1.9044 
3.64 23.6 23.6 13.6 1.8496 
3.66 23.4 23.4 13.4 1.7956 
3.68 23.2 23.2 13.2 1.7424 
3.7 23 23 13 1.69 
3.72 22.8 22.8 12.8 1.6384 
3.74 22.6 22.6 12.6 1.5876 
3.76 22.4 22.4 12.4 1.5376 
3.78 22.2 22.2 12.2 1.4884 
3.8 22 22 12 1.44 
3.82 21.8 21.8 11.8 1.3924 
3.84 21.6 21.6 11.6 1.3456 
3.86 21.4 21.4 11.4 1.2996 
3.88 21.2 21.2 11.2 1.2544 
3.9 21 21 11 1.21 
3.92 20.8 20.8 10.8 1.1664 
3.94 20.6 20.6 10.6 1.1236 
3.96 20.4 20.4 10.4 1.0816 
3.98 20.2 20.2 10.2 1.0404 
4 20 20 0 1 
4.02 19.8 19.8 0 0.9604 
4.04 19.6 19.6 0 0.9216 
4.06 19.4 19.4 0 0.8836 
4.08 19.2 19.2 0 0.8464 
4.1 19 19 0 0.81 
4.12 18.8 18.8 0 0.7744 
4.14 18.6 18.6 0 0.7396 
4.16 18.4 18.4 0 0.7056 
4.18 18.2 18.2 0 0.6724 
4.2 18 18 0 0.64 
4.22 17.8 17.8 0 0.6084 
4.24 17.6 17.6 0 0.5776 
4.26 17.4 17.4 0 0.5476 
4.28 17.2 17.2 0 0.5184 
4.3 17 17 0 0.49 
4.32 16.8 16.8 0 0.4624 
4.34 16.6 16.6 0 0.4356 
4.36 16.4 16.4 0 0.4096 
4.38 16.2 16.2 0 0.3844 
4.4 16 16 0 0.36 
4.42 15.8 15.8 0 0.3364 
4.44 15.6 15.6 0 0.3136 
4.46 15.4 15.4 0 0.2916 
4.48 15.2 15.2 0 0.2704 
4.5 15 15 0 0.25 
4.52 14.8 14.8 0 0.2304 
4.54 14.6 14.6 0 0.2116 
4.56 14.4 14.4 0 0.1936 
4.58 14.2 14.2 0 0.1764 
4.6 14 14 0 0.16 
4.62 13.8 13.8 0 0.1444 
4.64 13.6 13.6 0 0.1296 
4.66 13.4 13.4 0 0.1156 
4.68 13.2 13.2 0 0.1024 
4.7 13 12.9999 0 0.09 
4.72 12.8 12.7998 0 0.0784 
4.74 12.6 12.5996 0 0.0676 
4.76 12.4 12.3992 0 0.0576 
4.78 12.2 12.1982 0 0.0484 
4.8 12 11.996 0 0.04 
4.82 11.8 11.7912 0 0.0324 
4.84 11.6 11.5808 0 0.0256 
4.86 11.4 11.358 0 0.0196 
4.88 11.2 11.1086 0 0.0144 
4.9 11 10.8022 0 0.01 
4.92 10.8 10.377 0 0.0064 
4.94 10.6 9.71837 0 0.0036 
4.96 10.4 8.65299 0 0.0016 
4.98 10.2 7.03774 0 0.0004 
5 10 5 0 4.17307e-28 
5.02 0 3.03825 0 0.0004 
5.04 0 1.61262 0 0.0016 
5.06 0 0.781823 0 0.0036 
5.08 0 0.360325 0 0.0064 
5.1 0 0.161876 0 0.01 
5.12 0 0.0718306 0 0.0144 
5.14 0 0.0316845 0 0.0196 
5.16 0 0.0139339 0 0.0256 
5.18 0 0.00611744 0 0.0324 
5.2 0 0.0026828 0 0.04 
5.22 0 0.00117554 0 0.0484 
5.24 0 0.000514704 0 0.0576 
5.26 0 0.000225194 0 0.0676 
5.28 0 9.84529e-05 0 0.0784 
5.3 0 4.30092e-05 0 0.09 
5.32 0 1.87732e-05 0 0.1024 
5.34 0 8.18726e-06 0 0.1156 
5.36 0 3.5673e-06 0 0.1296 
5.38 0 1.5528e-06 0 0.1444 
5.4 0 6.75211e-07 0 0.16 
5.42 0 2.93279e-07 0 0.1764 
5.44 0 1.27235e-07 0 0.193599 
5.46 0 5.51284e-08 0 0.211598 
5.48 0 2.38533e-08 0 0.230395 
5.5 0 1.03058e-08 0 0.249989 
5.52 0 4.44545e-09 0 0.270373 
5.54 0 1.91424e-09 0 0.291539 
5.56 0 8.22728e-10 0 0.313464 
5.58 0 3.52872e-10 0 0.33611 
5.6 0 1.51005e-10 0 0.359403 
5.62 0 6.44585e-11 0 0.383212 
5.64 0 2.74387e-11 0 0.407317 
5.66 0 1.16441e-11 0 0.431367 
5.68 0 4.92425e-12 0 0.454832 
5.7 0 2.07432e-12 0 0.476967 
5.72 0 8.69915e-13 0 0.49681 
5.74 0 3.62958e-13 0 0.513245 
5.76 0 1.50542e-13 0 0.525158 
5.78 0 6.20062e-14 0 0.531688 
5.8 0 2.53283e-14 0 0.532492 
5.82 0 1.02427e-14 0 0.527942 
5.84 0 4.09096e-15 0 0.519146 
5.86 0 1.60841e-15 0 0.507766 
5.88 0 6.19463e-16 0 0.495729 
5.9 0 2.31952e-16 0 0.484937 
5.92 0 8.33783e-17 0 0.477076 
5.94 0 2.80982e-17 0 0.473555 
5.96 0 8.41689e-18 0 0.475541 
5.98 0 1.89098e-18 0 0.484042 
6 0 1.77345e-30 0 0.5 
6.02 0 -3.81782e-19 10.2 0.524362 
6.04 0 -3.43091e-19 10.4 0.5581 
6.06 0 -2.31241e-19 10.6 0.60218 
6.08 0 -1.38538e-19 10.8 0.657445 
6.1 0 -7.78113e-20 11 0.724412 
6.12 0 -4.19555e-20 11.2 0.803 
6.14 0 -2.19938e-20 11.4 0.892229 
6.16 0 -1.12942e-20 11.6 0.990027 
6.18 0 -5.70917e-21 11.8 1.09326 
6.2 0 -2.85033e-21 12 1.19811 
6.22 0 -1.40881e-21 12.2 1.30073 
6.24 0 -6.90566e-22 12.4 1.398 
6.26 0 0 12.6 1.488 
6.28 0 0 12.8 1.57017 
6.3 0 0 13 1.64505 
6.32 0 0 13.2 1.71388 
6.34 0 0 13.4 1.77815 
6.36 0 0 13.6 1.83929 
6.38 0 0 13.8 1.89851 
6.4 0 0 14 1.95675 
6.42 0 0 14.2 2.01466 
6.44 0 0 14.4 2.0727 
6.46 0 0 14.6 2.13115 
6.48 0 0 14.8 2.19018 
6.5 0 0 15 2.2499 
6.52 0 0 15.2 2.31035 
6.54 0 0 15.4 2.37158 
6.56 0 0 15.6 2.43359 
6.58 0 0 15.8 2.4964 
6.6 0 0 16 2.56 
6.62 0 0 16.2 2.6244 
6.64 0 0 16.4 2.6896 
6.66 0 0 16.6 2.7556 
6.68 0 0 16.8 2.8224 
6.7 0 0 17 2.89 
6.72 0 0 17.2 2.9584 
6.74 0 0 17.4 3.0276 
6.76 0 0 17.6 3.0976 
6.78 0 0 17.8 3.1684 
6.8 0 0 18 3.24 
6.82 0 0 18.2 3.3124 
6.84 0 0 18.4 3.3856 
6.86 0 0 18.6 3.4596 
6.88 0 0 18.8 3.5344 
6.9 0 0 19 3.61 
6.92 0 0 19.2 3.6864 
6.94 0 0 19.4 3.7636 
6.96 0 0 19.6 3.8416 
6.98 0 0 19.8 3.9204 
7 0 0 20 4 
