 nb            ed            pr           
 2.000000e-10  9.430928e-10  1.156653e-14 
 2.100000e-10  9.902481e-10  1.252804e-14 
 2.205000e-10  1.039761e-09  1.356916e-14 
 2.315250e-10  1.091750e-09  1.469529e-14 
 2.431013e-10  1.146338e-09  1.591324e-14 
 2.552563e-10  1.203656e-09  1.723162e-14 
 2.680191e-10  1.263840e-09  1.865431e-14 
 2.814201e-10  1.327033e-09  2.019548e-14 
 2.954911e-10  1.393385e-09  2.185818e-14 
 3.102656e-10  1.463056e-09  2.365701e-14 
 3.257789e-10  1.536201e-09  2.562564e-14 
 3.420679e-10  1.613012e-09  2.772830e-14 
 3.591713e-10  1.693664e-09  3.000242e-14 
 3.771298e-10  1.778349e-09  3.245430e-14 
 3.959863e-10  1.867268e-09  3.510528e-14 
 4.157856e-10  1.960634e-09  3.796834e-14 
 4.365749e-10  2.058667e-09  4.106019e-14 
 4.584037e-10  2.161603e-09  4.439845e-14 
 4.813238e-10  2.269685e-09  4.800239e-14 
 5.053900e-10  2.383172e-09  5.189667e-14 
 5.306595e-10  2.502325e-09  5.612424e-14 
 5.571925e-10  2.627444e-09  6.066253e-14 
 5.850521e-10  2.758819e-09  6.554971e-14 
 6.143048e-10  2.896764e-09  7.083255e-14 
 6.450200e-10  3.041605e-09  7.651997e-14 
 6.772710e-10  3.193690e-09  8.265990e-14 
 7.111345e-10  3.353378e-09  8.928120e-14 
 7.466913e-10  3.521052e-09  9.642045e-14 
 7.840258e-10  3.697110e-09  1.041173e-13 
 8.232271e-10  3.881970e-09  1.124138e-13 
 8.643885e-10  4.076066e-09  1.213988e-13 
 9.076079e-10  4.279876e-09  1.310382e-13 
 9.529883e-10  4.493876e-09  1.414244e-13 
 1.000638e-09  4.718578e-09  1.526133e-13 
 1.050670e-09  4.954514e-09  1.646658e-13 
 1.103203e-09  5.202249e-09  1.776464e-13 
 1.158363e-09  5.462370e-09  1.916243e-13 
 1.216281e-09  5.735499e-09  2.066749e-13 
 1.277095e-09  6.022284e-09  2.228930e-13 
 1.340950e-09  6.323410e-09  2.403167e-13 
 1.407998e-09  6.639593e-09  2.590855e-13 
 1.478398e-09  6.971577e-09  2.793423e-13 
 1.552318e-09  7.320171e-09  3.010773e-13 
 1.629933e-09  7.686195e-09  3.244593e-13 
 1.711430e-09  8.070521e-09  3.496345e-13 
 1.797002e-09  8.474065e-09  3.766575e-13 
 1.886852e-09  8.897788e-09  4.057425e-13 
 1.981194e-09  9.342699e-09  4.370130e-13 
 2.080254e-09  9.809856e-09  4.706307e-13 
 2.184267e-09  1.030037e-08  5.067644e-13 
 2.293480e-09  1.081542e-08  5.455969e-13 
