 nb            ed            pr           
 2.000000e-10  9.430934e-10  1.157091e-14 
 2.100000e-10  9.902487e-10  1.253369e-14 
 2.205000e-10  1.039762e-09  1.357521e-14 
 2.315250e-10  1.091751e-09  1.470173e-14 
 2.431013e-10  1.146339e-09  1.592008e-14 
 2.552563e-10  1.203657e-09  1.723760e-14 
 2.680191e-10  1.263840e-09  1.866215e-14 
 2.814201e-10  1.327033e-09  2.020227e-14 
 2.954911e-10  1.393386e-09  2.186710e-14 
 3.102656e-10  1.463056e-09  2.366654e-14 
 3.257789e-10  1.536202e-09  2.563582e-14 
 3.420679e-10  1.613013e-09  2.773911e-14 
 3.591713e-10  1.693665e-09  3.001170e-14 
 3.771298e-10  1.778350e-09  3.246664e-14 
 3.959863e-10  1.867269e-09  3.511845e-14 
 4.157856e-10  1.960634e-09  3.798536e-14 
 4.365749e-10  2.058668e-09  4.107519e-14 
 4.584037e-10  2.161604e-09  4.441442e-14 
 4.813238e-10  2.269686e-09  4.801950e-14 
 5.053900e-10  2.383173e-09  5.191491e-14 
 5.306595e-10  2.502325e-09  5.614378e-14 
 5.571925e-10  2.627444e-09  6.067867e-14 
 5.850521e-10  2.758820e-09  6.557186e-14 
 6.143048e-10  2.896764e-09  7.085094e-14 
 6.450200e-10  3.041606e-09  7.654521e-14 
 6.772710e-10  3.193690e-09  8.268690e-14 
 7.111345e-10  3.353379e-09  8.930990e-14 
 7.466913e-10  3.521053e-09  9.645112e-14 
 7.840258e-10  3.697111e-09  1.041500e-13 
 8.232271e-10  3.881971e-09  1.124488e-13 
 8.643885e-10  4.076067e-09  1.214363e-13 
 9.076079e-10  4.279877e-09  1.310878e-13 
 9.529883e-10  4.493877e-09  1.414668e-13 
 1.000638e-09  4.718578e-09  1.526586e-13 
 1.050670e-09  4.954515e-09  1.647144e-13 
 1.103203e-09  5.202250e-09  1.776980e-13 
 1.158363e-09  5.462371e-09  1.916795e-13 
 1.216281e-09  5.735500e-09  2.067333e-13 
 1.277095e-09  6.022285e-09  2.229398e-13 
 1.340950e-09  6.323411e-09  2.403833e-13 
 1.407998e-09  6.639594e-09  2.591568e-13 
 1.478398e-09  6.971578e-09  2.794194e-13 
 1.552318e-09  7.320171e-09  3.011588e-13 
 1.629933e-09  7.686196e-09  3.245462e-13 
 1.711430e-09  8.070522e-09  3.497017e-13 
 1.797002e-09  8.474066e-09  3.767557e-13 
 1.886852e-09  8.897789e-09  4.058476e-13 
 1.981194e-09  9.342700e-09  4.371260e-13 
 2.080254e-09  9.809858e-09  4.707503e-13 
 2.184267e-09  1.030037e-08  5.069286e-13 
 2.293480e-09  1.081542e-08  5.457341e-13 
 2.408154e-09  1.135621e-08  5.875917e-13 
 2.528562e-09  1.192405e-08  6.324005e-13 
 2.654990e-09  1.252029e-08  6.806311e-13 
 2.787739e-09  1.314634e-08  7.323376e-13 
 2.927126e-09  1.380369e-08  7.879227e-13 
 3.073482e-09  1.449392e-08  8.476699e-13 
 3.227157e-09  1.521866e-08  9.116978e-13 
 3.388514e-09  1.597964e-08  9.805050e-13 
 3.557940e-09  1.677867e-08  1.054363e-12 
 3.735837e-09  1.761766e-08  1.133634e-12 
 3.922629e-09  1.849859e-08  1.218804e-12 
 4.118760e-09  1.942358e-08  1.310098e-12 
 4.324699e-09  2.039483e-08  1.408046e-12 
 4.540933e-09  2.141464e-08  1.513130e-12 
 4.767980e-09  2.248545e-08  1.556060e-12 
 5.006379e-09  2.360981e-08  1.671802e-12 
 5.256698e-09  2.479038e-08  1.796048e-12 
 5.519533e-09  2.602999e-08  1.929288e-12 
 5.795510e-09  2.733159e-08  2.072155e-12 
 6.085285e-09  2.869828e-08  2.225331e-12 
 6.389549e-09  3.013330e-08  2.389643e-12 
 6.709027e-09  3.164009e-08  2.565656e-12 
 7.044478e-09  3.322223e-08  2.754311e-12 
 7.396702e-09  3.488348e-08  2.956685e-12 
 7.766537e-09  3.662781e-08  3.173341e-12 
 8.154864e-09  3.845936e-08  3.405254e-12 
 8.562607e-09  4.038251e-08  3.653933e-12 
 8.990738e-09  4.240182e-08  3.920601e-12 
 9.440274e-09  4.452212e-08  4.205695e-12 
 9.912288e-09  4.674844e-08  4.511318e-12 
 1.040790e-08  4.908609e-08  4.838773e-12 
 1.092830e-08  5.154064e-08  5.189288e-12 
 1.147471e-08  5.411794e-08  5.564611e-12 
 1.204845e-08  5.682413e-08  5.966443e-12 
 1.265087e-08  5.966564e-08  6.396636e-12 
 1.328341e-08  6.264926e-08  6.857154e-12 
 1.394758e-08  6.578207e-08  7.350083e-12 
 1.464496e-08  6.907156e-08  7.877677e-12 
 1.537721e-08  7.252554e-08  8.442329e-12 
 1.614607e-08  7.615226e-08  9.046588e-12 
 1.695338e-08  7.996034e-08  9.693187e-12 
 1.780105e-08  8.395885e-08  1.038523e-11 
 1.869110e-08  8.815733e-08  1.112550e-11 
 1.962565e-08  9.256577e-08  1.191741e-11 
 2.060694e-08  9.719467e-08  1.276459e-11 
 2.163728e-08  1.020551e-07  1.367084e-11 
 2.271915e-08  1.071585e-07  1.464112e-11 
 2.385510e-08  1.125172e-07  1.567698e-11 
 2.504786e-08  1.181439e-07  1.678574e-11 
 2.630025e-08  1.240519e-07  1.797154e-11 
 2.761526e-08  1.302555e-07  1.923960e-11 
 2.899603e-08  1.367692e-07  2.059576e-11 
 3.044583e-08  1.436088e-07  2.204705e-11 
 3.196812e-08  1.507903e-07  2.359577e-11 
 3.356653e-08  1.583311e-07  2.525318e-11 
 3.524485e-08  1.662489e-07  2.702667e-11 
 3.700710e-08  1.745628e-07  2.891908e-11 
 3.885745e-08  1.832924e-07  3.094381e-11 
 4.080032e-08  1.924586e-07  3.310819e-11 
 4.284034e-08  2.020833e-07  3.542150e-11 
 4.498236e-08  2.121893e-07  3.789407e-11 
 4.723147e-08  2.228007e-07  4.053687e-11 
 4.959305e-08  2.339428e-07  4.336111e-11 
 5.207270e-08  2.456422e-07  4.637935e-11 
 5.467633e-08  2.579267e-07  4.960795e-11 
 5.741015e-08  2.708256e-07  5.305484e-11 
 6.028066e-08  2.843696e-07  5.673456e-11 
 6.329469e-08  2.985911e-07  6.067360e-11 
 6.645943e-08  3.135237e-07  6.487451e-11 
 6.978240e-08  3.292033e-07  6.936721e-11 
 7.327152e-08  3.456670e-07  7.417172e-11 
 7.693509e-08  3.629542e-07  7.929565e-11 
 8.078185e-08  3.811060e-07  8.477926e-11 
 8.482094e-08  4.001657e-07  9.063231e-11 
 8.906199e-08  4.201787e-07  9.687886e-11 
 9.351509e-08  4.411926e-07  1.035581e-10 
 9.819084e-08  4.632576e-07  1.106923e-10 
 1.031004e-07  4.864262e-07  1.183129e-10 
 1.082554e-07  5.107536e-07  1.264530e-10 
 1.136682e-07  5.362978e-07  1.351477e-10 
 1.193516e-07  5.631197e-07  1.444341e-10 
 1.253192e-07  5.912832e-07  1.543528e-10 
 1.315851e-07  6.208553e-07  1.649470e-10 
 1.381644e-07  6.519066e-07  1.762611e-10 
 1.450726e-07  6.845110e-07  1.883444e-10 
 1.523262e-07  7.187463e-07  1.996234e-10 
 1.599425e-07  7.546939e-07  2.132940e-10 
 1.679397e-07  7.924393e-07  2.199338e-10 
 1.763366e-07  8.320726e-07  2.349850e-10 
 1.851535e-07  8.736884e-07  2.510561e-10 
 1.944111e-07  9.173858e-07  2.682189e-10 
 2.041317e-07  9.632689e-07  2.865463e-10 
 2.143383e-07  1.011447e-06  3.061173e-10 
 2.250552e-07  1.062035e-06  3.270154e-10 
 2.363080e-07  1.115154e-06  3.493295e-10 
 2.481234e-07  1.170930e-06  3.731566e-10 
 2.605295e-07  1.229496e-06  3.985978e-10 
 2.735560e-07  1.290991e-06  4.257881e-10 
 2.872338e-07  1.355562e-06  4.547658e-10 
 3.015955e-07  1.423364e-06  4.857358e-10 
 3.166753e-07  1.494557e-06  5.187985e-10 
 3.325090e-07  1.569312e-06  5.541015e-10 
 3.491345e-07  1.647806e-06  5.917942e-10 
 3.665912e-07  1.730227e-06  6.320330e-10 
 3.849208e-07  1.816771e-06  6.749944e-10 
 4.041668e-07  1.907645e-06  7.209062e-10 
 4.243752e-07  2.003064e-06  7.698313e-10 
 4.455939e-07  2.103257e-06  8.221102e-10 
 4.678736e-07  2.208462e-06  8.779224e-10 
 4.912673e-07  2.318931e-06  9.375080e-10 
 5.158307e-07  2.434926e-06  1.001118e-09 
 5.416222e-07  2.556724e-06  1.069086e-09 
 5.687033e-07  2.684615e-06  1.141516e-09 
 5.971385e-07  2.818905e-06  1.218901e-09 
 6.269954e-07  2.959913e-06  1.301595e-09 
