 x             y             z             a            
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 1.000000e+00  8.414710e-01  1.000000e+00  8.414710e-01 
 2.000000e+00  9.092974e-01  4.000000e+00  3.637190e+00 
 3.000000e+00  1.411200e-01  9.000000e+00  1.270080e+00 
 4.000000e+00 -7.568025e-01  1.600000e+01 -1.210884e+01 
 5.000000e+00 -9.589243e-01  2.500000e+01 -2.397311e+01 
 6.000000e+00 -2.794155e-01  3.600000e+01 -1.005896e+01 
 7.000000e+00  6.569866e-01  4.900000e+01  3.219234e+01 
 8.000000e+00  9.893582e-01  6.400000e+01  6.331893e+01 
 9.000000e+00  4.121185e-01  8.100000e+01  3.338160e+01 
